2019-09-10 20:10:10,029 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2019-09-10 20:10:10,043 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2019-09-10 20:10:10,044 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: D:\ruanmou\online12\20190903Advanced12Course92Microservice-1\Max.Study.Core3\Max.Study.Core3
2019-09-10 20:10:47,534 [9] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:47,721 [9] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:47,722 [9] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:47,726 [9] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:54,884 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:54,890 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:54,891 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:54,892 [11] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:55,343 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:55,349 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:55,350 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:55,351 [18] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:55,713 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:55,718 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:55,719 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:55,720 [18] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:55,910 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:55,914 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:55,915 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:55,916 [11] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:56,067 [9] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:56,070 [9] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:56,072 [9] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:56,072 [9] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:56,223 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:56,225 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:56,226 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:56,227 [18] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:56,365 [21] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:56,369 [21] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:56,371 [21] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:56,372 [21] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726
2019-09-10 20:10:56,512 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:56,514 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:56,514 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:56,515 [11] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:10:56,676 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:56,680 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:56,681 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:56,683 [11] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726
2019-09-10 20:10:59,635 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:10:59,639 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:10:59,640 [18] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:10:59,640 [18] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726
2019-09-10 20:11:00,188 [21] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:11:00,191 [21] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:11:00,192 [21] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:11:00,193 [21] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726
2019-09-10 20:11:00,953 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Get 执行
2019-09-10 20:11:00,965 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,127.0.0.1,apiserviceTest_06e89b0b-81d9-48f1-a043-4abddc986076,apiserviceTest,5726 2
2019-09-10 20:11:00,966 [11] WARN  Max.Study.Core3.Controllers.TestController - key=apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727 8
2019-09-10 20:11:00,967 [11] WARN  Max.Study.Core3.Controllers.TestController - 127.0.0.1,apiserviceTest_dd18ab97-d2a4-4137-bcd9-7c7c3558e0a1,apiserviceTest,5727
2019-09-10 20:11:17,949 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:23,882 [9] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:24,516 [21] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:25,116 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:25,508 [9] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:26,866 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,220 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,390 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,530 [9] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,682 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,817 [18] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
2019-09-10 20:11:27,983 [11] WARN  Max.Study.Core3.Controllers.TestController - TestController-Invoke 执行
